solution_group,solution_priority_action_area,solution_name,annual_tons_diversion_potential,annual_mtco2e_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit,dollars per ton,fraction of total effect,weighted cost
Prevention,Enhance Product Distribution,Decreased Transit Time,641413.29,2756627.834,2.21E+11,1069022150,0,375858243.6,2080542737,1704684493,585.9844961,5%,29.09249652
Prevention,Enhance Product Distribution,First Expired First Out,365185.334,1561727.104,1.15E+11,608642223.3,0,329469673.6,1262327829,932858155.4,902.1985357,3%,25.50188933
Prevention,Enhance Product Distribution,Intelligent Routing,654563.2374,2497906.124,1.79E+11,1090938729,992.6451495,472320299.8,2122371726,1650051427,721.5808539,5%,36.55893389
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,15191.64193,56511.30575,4412121989,25319403.21,0,9429590.92,46858491.17,37428900.25,620.709135,0%,0.729877143
Prevention,Enhance Product Distribution,Temperature Monitoring (Pallet Transport),311762.0742,1233392.6,1.02E+11,519603457,472.7871855,125644002.1,960022277,834378274.9,403.0124654,2%,9.725202939
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,704755.6379,4438673.365,2.01E+11,1174592730,1068.761925,745690055.4,4510010800,3764320744,1058.083136,5%,57.7185301
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (Upcycling),1983828.845,5543787.152,5.54E+11,3306381409,3008.476444,2015585143,4872570977,2856985834,1016.00758,15%,156.0120199
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,2865080.266,8006434.228,8.01E+11,4775133777,0,602648252.5,1841440527,1238792275,210.3425372,22%,46.64668791
Prevention,Optimize The Harvest,Buyer Specification Expansion,640492.8581,359585.0145,38982774061,1067488097,0,6015601.634,2536273068,2530257467,9.392144749,5%,0.465624667
Prevention,Optimize The Harvest,Gleaning,4025.977741,501.3399896,65792999.99,6709962.902,14.9766372,5812462.884,10952802.6,5140339.718,1443.739449,0%,0.449901151
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,1574608.49,371741.6282,51046502426,2624347484,2387.893776,1509470303,3321122596,1811652293,958.6321373,12%,116.8372924
Prevention,Optimize The Harvest,Partial Order Acceptance,51800.27289,157690.4869,14379139779,86333788.15,0,96518631.99,201305387.7,104786755.7,1863.284238,0%,7.470816494
Prevention,Refine Product Management,Assisted Distressed Sales,312826.4041,1110064.424,75995213614,521377340.2,474.4012419,5328334.958,316987142.6,311658807.6,17.03288114,2%,0.412428273
Prevention,Refine Product Management,Decreased Minimum Order Quantity,124396.3208,504243.1116,38300198978,207327201.4,0,65071383.27,429997929.7,364926546.5,523.0973299,1%,5.036710045
Prevention,Refine Product Management,Dynamic Pricing,360323.3909,1608379.144,1.02E+11,600538984.9,546.4304224,561128730.4,1934338547,1373209817,1557.29199,3%,43.43295888
Prevention,Refine Product Management,Enhanced Demand Planning,264850.0586,1083370.844,72626824854,441416764.3,401.6451138,111704903.6,943942954,832238050.5,421.7665805,2%,8.646277084
Prevention,Refine Product Management,Increased Delivery Frequency,53918.91005,321051.3205,20104597611,89864850.08,0,45686105.51,186380268.7,140694163.1,847.3113695,0%,3.536234441
Prevention,Refine Product Management,Markdown Alert Applications,911537.7489,4179259.483,2.91E+11,1519229582,1382.346996,667023172.7,4161711807,3494688635,731.7559514,7%,51.62948974
Prevention,Refine Product Management,Minimized On Hand Inventory,61917.84519,330659.5392,20669159863,103196408.7,0,17198948.12,216271293.5,199072345.4,277.7704565,0%,1.331247477
Prevention,Refine Product Management,Temperature Monitoring (Foodservice),4167.061621,35633.22312,2325907066,6945102.702,6.319348948,204840.0152,15732492.59,15527652.57,49.15694412,0%,0.015855199
Prevention,Refine Product Management,Waste Tracking (Foodservice),1012776.472,5491608.894,4.43E+11,1687960786,1535.875519,1141072447,4914964608,3773892161,1126.677484,8%,88.3222512
,,,12919422.14,,,,,,,,,,689.5727248