category,unit_price
pop_lvst_buffalo,200
pop_lvst_cattle_dairy,200
pop_lvst_cattle_nondairy,260
pop_lvst_chickens,10
pop_lvst_goats,50
pop_lvst_horses,200
pop_lvst_mules,200
pop_lvst_pigs,100
pop_lvst_sheep,50
yield_agrc_bevs_and_spices_tonne,1540
yield_agrc_cereals_tonne,700
yield_agrc_fibers_tonne,700
yield_agrc_fruits_tonne,1800
yield_agrc_herbs_and_other_perennial_crops_tonne,1800
yield_agrc_nuts_tonne,1800
yield_agrc_other_annual_tonne,1540
yield_agrc_other_woody_perennial_tonne,1540
yield_agrc_pulses_tonne,3200
yield_agrc_rice_tonne,700
yield_agrc_sugar_cane_tonne,150
yield_agrc_tubers_tonne,1800
yield_agrc_vegetables_and_vines_tonne,1800
net_imports_agrc_bevs_and_spices_tonne,1540
net_imports_agrc_cereals_tonne,700
net_imports_agrc_fibers_tonne,700
net_imports_agrc_fruits_tonne,1800
net_imports_agrc_herbs_and_other_perennial_crops_tonne,1800
net_imports_agrc_nuts_tonne,1800
net_imports_agrc_other_annual_tonne,1540
net_imports_agrc_other_woody_perennial_tonne,1540
net_imports_agrc_pulses_tonne,3200
net_imports_agrc_rice_tonne,700
net_imports_agrc_sugar_cane_tonne,150
net_imports_agrc_tubers_tonne,1800
net_imports_agrc_vegetables_and_vines_tonne,1800
net_imports_change_lvst_buffalo,200
net_imports_change_lvst_cattle_dairy,200
net_imports_change_lvst_cattle_nondairy,260
net_imports_change_lvst_chickens,10
net_imports_change_lvst_goats,50
net_imports_change_lvst_horses,200
net_imports_change_lvst_mules,200
net_imports_change_lvst_pigs,100
net_imports_change_lvst_sheep,50