time_period,lndu_reallocation_factor,TransformationName,Nation
0,1,none,argentina
1,1,none,argentina
2,1,none,argentina
3,1,none,argentina
4,1,none,argentina
5,1,none,argentina
6,1,none,argentina
7,1,none,argentina
8,1,none,argentina
9,1,none,argentina
10,1,none,argentina
11,1,none,argentina
12,1,none,argentina
13,1,none,argentina
14,1,none,argentina
15,1,none,argentina
16,1,none,argentina
17,1,none,argentina
18,1,none,argentina
19,1,none,argentina
20,1,none,argentina
21,1,none,argentina
22,1,none,argentina
23,1,none,argentina
24,1,none,argentina
25,1,none,argentina
26,1,none,argentina
27,1,none,argentina
28,1,none,argentina
29,1,none,argentina
30,1,none,argentina
31,1,none,argentina
32,1,none,argentina
33,1,none,argentina
34,1,none,argentina
35,1,none,argentina
0,1,full,argentina
1,1,full,argentina
2,1,full,argentina
3,1,full,argentina
4,1,full,argentina
5,1,full,argentina
6,1,full,argentina
7,1,full,argentina
8,1,full,argentina
9,1,full,argentina
10,1,full,argentina
11,1,full,argentina
12,1,full,argentina
13,1,full,argentina
14,1,full,argentina
15,1,full,argentina
16,1,full,argentina
17,1,full,argentina
18,1,full,argentina
19,1,full,argentina
20,1,full,argentina
21,1,full,argentina
22,1,full,argentina
23,1,full,argentina
24,1,full,argentina
25,1,full,argentina
26,1,full,argentina
27,1,full,argentina
28,1,full,argentina
29,1,full,argentina
30,1,full,argentina
31,1,full,argentina
32,1,full,argentina
33,1,full,argentina
34,1,full,argentina
35,1,full,argentina
0,1,none,bahamas
1,1,none,bahamas
2,1,none,bahamas
3,1,none,bahamas
4,1,none,bahamas
5,1,none,bahamas
6,1,none,bahamas
7,1,none,bahamas
8,1,none,bahamas
9,1,none,bahamas
10,1,none,bahamas
11,1,none,bahamas
12,1,none,bahamas
13,1,none,bahamas
14,1,none,bahamas
15,1,none,bahamas
16,1,none,bahamas
17,1,none,bahamas
18,1,none,bahamas
19,1,none,bahamas
20,1,none,bahamas
21,1,none,bahamas
22,1,none,bahamas
23,1,none,bahamas
24,1,none,bahamas
25,1,none,bahamas
26,1,none,bahamas
27,1,none,bahamas
28,1,none,bahamas
29,1,none,bahamas
30,1,none,bahamas
31,1,none,bahamas
32,1,none,bahamas
33,1,none,bahamas
34,1,none,bahamas
35,1,none,bahamas
0,1,full,bahamas
1,1,full,bahamas
2,1,full,bahamas
3,1,full,bahamas
4,1,full,bahamas
5,1,full,bahamas
6,1,full,bahamas
7,1,full,bahamas
8,1,full,bahamas
9,1,full,bahamas
10,1,full,bahamas
11,1,full,bahamas
12,1,full,bahamas
13,1,full,bahamas
14,1,full,bahamas
15,1,full,bahamas
16,1,full,bahamas
17,1,full,bahamas
18,1,full,bahamas
19,1,full,bahamas
20,1,full,bahamas
21,1,full,bahamas
22,1,full,bahamas
23,1,full,bahamas
24,1,full,bahamas
25,1,full,bahamas
26,1,full,bahamas
27,1,full,bahamas
28,1,full,bahamas
29,1,full,bahamas
30,1,full,bahamas
31,1,full,bahamas
32,1,full,bahamas
33,1,full,bahamas
34,1,full,bahamas
35,1,full,bahamas
0,1,none,barbados
1,1,none,barbados
2,1,none,barbados
3,1,none,barbados
4,1,none,barbados
5,1,none,barbados
6,1,none,barbados
7,1,none,barbados
8,1,none,barbados
9,1,none,barbados
10,1,none,barbados
11,1,none,barbados
12,1,none,barbados
13,1,none,barbados
14,1,none,barbados
15,1,none,barbados
16,1,none,barbados
17,1,none,barbados
18,1,none,barbados
19,1,none,barbados
20,1,none,barbados
21,1,none,barbados
22,1,none,barbados
23,1,none,barbados
24,1,none,barbados
25,1,none,barbados
26,1,none,barbados
27,1,none,barbados
28,1,none,barbados
29,1,none,barbados
30,1,none,barbados
31,1,none,barbados
32,1,none,barbados
33,1,none,barbados
34,1,none,barbados
35,1,none,barbados
0,1,full,barbados
1,1,full,barbados
2,1,full,barbados
3,1,full,barbados
4,1,full,barbados
5,1,full,barbados
6,1,full,barbados
7,1,full,barbados
8,1,full,barbados
9,1,full,barbados
10,1,full,barbados
11,1,full,barbados
12,1,full,barbados
13,1,full,barbados
14,1,full,barbados
15,1,full,barbados
16,1,full,barbados
17,1,full,barbados
18,1,full,barbados
19,1,full,barbados
20,1,full,barbados
21,1,full,barbados
22,1,full,barbados
23,1,full,barbados
24,1,full,barbados
25,1,full,barbados
26,1,full,barbados
27,1,full,barbados
28,1,full,barbados
29,1,full,barbados
30,1,full,barbados
31,1,full,barbados
32,1,full,barbados
33,1,full,barbados
34,1,full,barbados
35,1,full,barbados
0,1,none,belize
1,1,none,belize
2,1,none,belize
3,1,none,belize
4,1,none,belize
5,1,none,belize
6,1,none,belize
7,1,none,belize
8,1,none,belize
9,1,none,belize
10,1,none,belize
11,1,none,belize
12,1,none,belize
13,1,none,belize
14,1,none,belize
15,1,none,belize
16,1,none,belize
17,1,none,belize
18,1,none,belize
19,1,none,belize
20,1,none,belize
21,1,none,belize
22,1,none,belize
23,1,none,belize
24,1,none,belize
25,1,none,belize
26,1,none,belize
27,1,none,belize
28,1,none,belize
29,1,none,belize
30,1,none,belize
31,1,none,belize
32,1,none,belize
33,1,none,belize
34,1,none,belize
35,1,none,belize
0,1,full,belize
1,1,full,belize
2,1,full,belize
3,1,full,belize
4,1,full,belize
5,1,full,belize
6,1,full,belize
7,1,full,belize
8,1,full,belize
9,1,full,belize
10,1,full,belize
11,1,full,belize
12,1,full,belize
13,1,full,belize
14,1,full,belize
15,1,full,belize
16,1,full,belize
17,1,full,belize
18,1,full,belize
19,1,full,belize
20,1,full,belize
21,1,full,belize
22,1,full,belize
23,1,full,belize
24,1,full,belize
25,1,full,belize
26,1,full,belize
27,1,full,belize
28,1,full,belize
29,1,full,belize
30,1,full,belize
31,1,full,belize
32,1,full,belize
33,1,full,belize
34,1,full,belize
35,1,full,belize
0,1,none,bolivia
1,1,none,bolivia
2,1,none,bolivia
3,1,none,bolivia
4,1,none,bolivia
5,1,none,bolivia
6,1,none,bolivia
7,1,none,bolivia
8,1,none,bolivia
9,1,none,bolivia
10,1,none,bolivia
11,1,none,bolivia
12,1,none,bolivia
13,1,none,bolivia
14,1,none,bolivia
15,1,none,bolivia
16,1,none,bolivia
17,1,none,bolivia
18,1,none,bolivia
19,1,none,bolivia
20,1,none,bolivia
21,1,none,bolivia
22,1,none,bolivia
23,1,none,bolivia
24,1,none,bolivia
25,1,none,bolivia
26,1,none,bolivia
27,1,none,bolivia
28,1,none,bolivia
29,1,none,bolivia
30,1,none,bolivia
31,1,none,bolivia
32,1,none,bolivia
33,1,none,bolivia
34,1,none,bolivia
35,1,none,bolivia
0,1,full,bolivia
1,1,full,bolivia
2,1,full,bolivia
3,1,full,bolivia
4,1,full,bolivia
5,1,full,bolivia
6,1,full,bolivia
7,1,full,bolivia
8,1,full,bolivia
9,1,full,bolivia
10,1,full,bolivia
11,1,full,bolivia
12,1,full,bolivia
13,1,full,bolivia
14,1,full,bolivia
15,1,full,bolivia
16,1,full,bolivia
17,1,full,bolivia
18,1,full,bolivia
19,1,full,bolivia
20,1,full,bolivia
21,1,full,bolivia
22,1,full,bolivia
23,1,full,bolivia
24,1,full,bolivia
25,1,full,bolivia
26,1,full,bolivia
27,1,full,bolivia
28,1,full,bolivia
29,1,full,bolivia
30,1,full,bolivia
31,1,full,bolivia
32,1,full,bolivia
33,1,full,bolivia
34,1,full,bolivia
35,1,full,bolivia
0,1,none,brazil
1,1,none,brazil
2,1,none,brazil
3,1,none,brazil
4,1,none,brazil
5,1,none,brazil
6,1,none,brazil
7,1,none,brazil
8,1,none,brazil
9,1,none,brazil
10,1,none,brazil
11,1,none,brazil
12,1,none,brazil
13,1,none,brazil
14,1,none,brazil
15,1,none,brazil
16,1,none,brazil
17,1,none,brazil
18,1,none,brazil
19,1,none,brazil
20,1,none,brazil
21,1,none,brazil
22,1,none,brazil
23,1,none,brazil
24,1,none,brazil
25,1,none,brazil
26,1,none,brazil
27,1,none,brazil
28,1,none,brazil
29,1,none,brazil
30,1,none,brazil
31,1,none,brazil
32,1,none,brazil
33,1,none,brazil
34,1,none,brazil
35,1,none,brazil
0,1,full,brazil
1,1,full,brazil
2,1,full,brazil
3,1,full,brazil
4,1,full,brazil
5,1,full,brazil
6,1,full,brazil
7,1,full,brazil
8,1,full,brazil
9,1,full,brazil
10,1,full,brazil
11,1,full,brazil
12,1,full,brazil
13,1,full,brazil
14,1,full,brazil
15,1,full,brazil
16,1,full,brazil
17,1,full,brazil
18,1,full,brazil
19,1,full,brazil
20,1,full,brazil
21,1,full,brazil
22,1,full,brazil
23,1,full,brazil
24,1,full,brazil
25,1,full,brazil
26,1,full,brazil
27,1,full,brazil
28,1,full,brazil
29,1,full,brazil
30,1,full,brazil
31,1,full,brazil
32,1,full,brazil
33,1,full,brazil
34,1,full,brazil
35,1,full,brazil
0,1,none,chile
1,1,none,chile
2,1,none,chile
3,1,none,chile
4,1,none,chile
5,1,none,chile
6,1,none,chile
7,1,none,chile
8,1,none,chile
9,1,none,chile
10,1,none,chile
11,1,none,chile
12,1,none,chile
13,1,none,chile
14,1,none,chile
15,1,none,chile
16,1,none,chile
17,1,none,chile
18,1,none,chile
19,1,none,chile
20,1,none,chile
21,1,none,chile
22,1,none,chile
23,1,none,chile
24,1,none,chile
25,1,none,chile
26,1,none,chile
27,1,none,chile
28,1,none,chile
29,1,none,chile
30,1,none,chile
31,1,none,chile
32,1,none,chile
33,1,none,chile
34,1,none,chile
35,1,none,chile
0,1,full,chile
1,1,full,chile
2,1,full,chile
3,1,full,chile
4,1,full,chile
5,1,full,chile
6,1,full,chile
7,1,full,chile
8,1,full,chile
9,1,full,chile
10,1,full,chile
11,1,full,chile
12,1,full,chile
13,1,full,chile
14,1,full,chile
15,1,full,chile
16,1,full,chile
17,1,full,chile
18,1,full,chile
19,1,full,chile
20,1,full,chile
21,1,full,chile
22,1,full,chile
23,1,full,chile
24,1,full,chile
25,1,full,chile
26,1,full,chile
27,1,full,chile
28,1,full,chile
29,1,full,chile
30,1,full,chile
31,1,full,chile
32,1,full,chile
33,1,full,chile
34,1,full,chile
35,1,full,chile
0,1,none,colombia
1,1,none,colombia
2,1,none,colombia
3,1,none,colombia
4,1,none,colombia
5,1,none,colombia
6,1,none,colombia
7,1,none,colombia
8,1,none,colombia
9,1,none,colombia
10,1,none,colombia
11,1,none,colombia
12,1,none,colombia
13,1,none,colombia
14,1,none,colombia
15,1,none,colombia
16,1,none,colombia
17,1,none,colombia
18,1,none,colombia
19,1,none,colombia
20,1,none,colombia
21,1,none,colombia
22,1,none,colombia
23,1,none,colombia
24,1,none,colombia
25,1,none,colombia
26,1,none,colombia
27,1,none,colombia
28,1,none,colombia
29,1,none,colombia
30,1,none,colombia
31,1,none,colombia
32,1,none,colombia
33,1,none,colombia
34,1,none,colombia
35,1,none,colombia
0,1,full,colombia
1,1,full,colombia
2,1,full,colombia
3,1,full,colombia
4,1,full,colombia
5,1,full,colombia
6,1,full,colombia
7,1,full,colombia
8,1,full,colombia
9,1,full,colombia
10,1,full,colombia
11,1,full,colombia
12,1,full,colombia
13,1,full,colombia
14,1,full,colombia
15,1,full,colombia
16,1,full,colombia
17,1,full,colombia
18,1,full,colombia
19,1,full,colombia
20,1,full,colombia
21,1,full,colombia
22,1,full,colombia
23,1,full,colombia
24,1,full,colombia
25,1,full,colombia
26,1,full,colombia
27,1,full,colombia
28,1,full,colombia
29,1,full,colombia
30,1,full,colombia
31,1,full,colombia
32,1,full,colombia
33,1,full,colombia
34,1,full,colombia
35,1,full,colombia
0,1,none,costa_rica
1,1,none,costa_rica
2,1,none,costa_rica
3,1,none,costa_rica
4,1,none,costa_rica
5,1,none,costa_rica
6,1,none,costa_rica
7,1,none,costa_rica
8,1,none,costa_rica
9,1,none,costa_rica
10,1,none,costa_rica
11,1,none,costa_rica
12,1,none,costa_rica
13,1,none,costa_rica
14,1,none,costa_rica
15,1,none,costa_rica
16,1,none,costa_rica
17,1,none,costa_rica
18,1,none,costa_rica
19,1,none,costa_rica
20,1,none,costa_rica
21,1,none,costa_rica
22,1,none,costa_rica
23,1,none,costa_rica
24,1,none,costa_rica
25,1,none,costa_rica
26,1,none,costa_rica
27,1,none,costa_rica
28,1,none,costa_rica
29,1,none,costa_rica
30,1,none,costa_rica
31,1,none,costa_rica
32,1,none,costa_rica
33,1,none,costa_rica
34,1,none,costa_rica
35,1,none,costa_rica
0,1,full,costa_rica
1,1,full,costa_rica
2,1,full,costa_rica
3,1,full,costa_rica
4,1,full,costa_rica
5,1,full,costa_rica
6,1,full,costa_rica
7,1,full,costa_rica
8,1,full,costa_rica
9,1,full,costa_rica
10,1,full,costa_rica
11,1,full,costa_rica
12,1,full,costa_rica
13,1,full,costa_rica
14,1,full,costa_rica
15,1,full,costa_rica
16,1,full,costa_rica
17,1,full,costa_rica
18,1,full,costa_rica
19,1,full,costa_rica
20,1,full,costa_rica
21,1,full,costa_rica
22,1,full,costa_rica
23,1,full,costa_rica
24,1,full,costa_rica
25,1,full,costa_rica
26,1,full,costa_rica
27,1,full,costa_rica
28,1,full,costa_rica
29,1,full,costa_rica
30,1,full,costa_rica
31,1,full,costa_rica
32,1,full,costa_rica
33,1,full,costa_rica
34,1,full,costa_rica
35,1,full,costa_rica
0,1,none,dominican_republic
1,1,none,dominican_republic
2,1,none,dominican_republic
3,1,none,dominican_republic
4,1,none,dominican_republic
5,1,none,dominican_republic
6,1,none,dominican_republic
7,1,none,dominican_republic
8,1,none,dominican_republic
9,1,none,dominican_republic
10,1,none,dominican_republic
11,1,none,dominican_republic
12,1,none,dominican_republic
13,1,none,dominican_republic
14,1,none,dominican_republic
15,1,none,dominican_republic
16,1,none,dominican_republic
17,1,none,dominican_republic
18,1,none,dominican_republic
19,1,none,dominican_republic
20,1,none,dominican_republic
21,1,none,dominican_republic
22,1,none,dominican_republic
23,1,none,dominican_republic
24,1,none,dominican_republic
25,1,none,dominican_republic
26,1,none,dominican_republic
27,1,none,dominican_republic
28,1,none,dominican_republic
29,1,none,dominican_republic
30,1,none,dominican_republic
31,1,none,dominican_republic
32,1,none,dominican_republic
33,1,none,dominican_republic
34,1,none,dominican_republic
35,1,none,dominican_republic
0,1,full,dominican_republic
1,1,full,dominican_republic
2,1,full,dominican_republic
3,1,full,dominican_republic
4,1,full,dominican_republic
5,1,full,dominican_republic
6,1,full,dominican_republic
7,1,full,dominican_republic
8,1,full,dominican_republic
9,1,full,dominican_republic
10,1,full,dominican_republic
11,1,full,dominican_republic
12,1,full,dominican_republic
13,1,full,dominican_republic
14,1,full,dominican_republic
15,1,full,dominican_republic
16,1,full,dominican_republic
17,1,full,dominican_republic
18,1,full,dominican_republic
19,1,full,dominican_republic
20,1,full,dominican_republic
21,1,full,dominican_republic
22,1,full,dominican_republic
23,1,full,dominican_republic
24,1,full,dominican_republic
25,1,full,dominican_republic
26,1,full,dominican_republic
27,1,full,dominican_republic
28,1,full,dominican_republic
29,1,full,dominican_republic
30,1,full,dominican_republic
31,1,full,dominican_republic
32,1,full,dominican_republic
33,1,full,dominican_republic
34,1,full,dominican_republic
35,1,full,dominican_republic
0,1,none,ecuador
1,1,none,ecuador
2,1,none,ecuador
3,1,none,ecuador
4,1,none,ecuador
5,1,none,ecuador
6,1,none,ecuador
7,1,none,ecuador
8,1,none,ecuador
9,1,none,ecuador
10,1,none,ecuador
11,1,none,ecuador
12,1,none,ecuador
13,1,none,ecuador
14,1,none,ecuador
15,1,none,ecuador
16,1,none,ecuador
17,1,none,ecuador
18,1,none,ecuador
19,1,none,ecuador
20,1,none,ecuador
21,1,none,ecuador
22,1,none,ecuador
23,1,none,ecuador
24,1,none,ecuador
25,1,none,ecuador
26,1,none,ecuador
27,1,none,ecuador
28,1,none,ecuador
29,1,none,ecuador
30,1,none,ecuador
31,1,none,ecuador
32,1,none,ecuador
33,1,none,ecuador
34,1,none,ecuador
35,1,none,ecuador
0,1,full,ecuador
1,1,full,ecuador
2,1,full,ecuador
3,1,full,ecuador
4,1,full,ecuador
5,1,full,ecuador
6,1,full,ecuador
7,1,full,ecuador
8,1,full,ecuador
9,1,full,ecuador
10,1,full,ecuador
11,1,full,ecuador
12,1,full,ecuador
13,1,full,ecuador
14,1,full,ecuador
15,1,full,ecuador
16,1,full,ecuador
17,1,full,ecuador
18,1,full,ecuador
19,1,full,ecuador
20,1,full,ecuador
21,1,full,ecuador
22,1,full,ecuador
23,1,full,ecuador
24,1,full,ecuador
25,1,full,ecuador
26,1,full,ecuador
27,1,full,ecuador
28,1,full,ecuador
29,1,full,ecuador
30,1,full,ecuador
31,1,full,ecuador
32,1,full,ecuador
33,1,full,ecuador
34,1,full,ecuador
35,1,full,ecuador
0,1,none,el_salvador
1,1,none,el_salvador
2,1,none,el_salvador
3,1,none,el_salvador
4,1,none,el_salvador
5,1,none,el_salvador
6,1,none,el_salvador
7,1,none,el_salvador
8,1,none,el_salvador
9,1,none,el_salvador
10,1,none,el_salvador
11,1,none,el_salvador
12,1,none,el_salvador
13,1,none,el_salvador
14,1,none,el_salvador
15,1,none,el_salvador
16,1,none,el_salvador
17,1,none,el_salvador
18,1,none,el_salvador
19,1,none,el_salvador
20,1,none,el_salvador
21,1,none,el_salvador
22,1,none,el_salvador
23,1,none,el_salvador
24,1,none,el_salvador
25,1,none,el_salvador
26,1,none,el_salvador
27,1,none,el_salvador
28,1,none,el_salvador
29,1,none,el_salvador
30,1,none,el_salvador
31,1,none,el_salvador
32,1,none,el_salvador
33,1,none,el_salvador
34,1,none,el_salvador
35,1,none,el_salvador
0,1,full,el_salvador
1,1,full,el_salvador
2,1,full,el_salvador
3,1,full,el_salvador
4,1,full,el_salvador
5,1,full,el_salvador
6,1,full,el_salvador
7,1,full,el_salvador
8,1,full,el_salvador
9,1,full,el_salvador
10,1,full,el_salvador
11,1,full,el_salvador
12,1,full,el_salvador
13,1,full,el_salvador
14,1,full,el_salvador
15,1,full,el_salvador
16,1,full,el_salvador
17,1,full,el_salvador
18,1,full,el_salvador
19,1,full,el_salvador
20,1,full,el_salvador
21,1,full,el_salvador
22,1,full,el_salvador
23,1,full,el_salvador
24,1,full,el_salvador
25,1,full,el_salvador
26,1,full,el_salvador
27,1,full,el_salvador
28,1,full,el_salvador
29,1,full,el_salvador
30,1,full,el_salvador
31,1,full,el_salvador
32,1,full,el_salvador
33,1,full,el_salvador
34,1,full,el_salvador
35,1,full,el_salvador
0,1,none,guatemala
1,1,none,guatemala
2,1,none,guatemala
3,1,none,guatemala
4,1,none,guatemala
5,1,none,guatemala
6,1,none,guatemala
7,1,none,guatemala
8,1,none,guatemala
9,1,none,guatemala
10,1,none,guatemala
11,1,none,guatemala
12,1,none,guatemala
13,1,none,guatemala
14,1,none,guatemala
15,1,none,guatemala
16,1,none,guatemala
17,1,none,guatemala
18,1,none,guatemala
19,1,none,guatemala
20,1,none,guatemala
21,1,none,guatemala
22,1,none,guatemala
23,1,none,guatemala
24,1,none,guatemala
25,1,none,guatemala
26,1,none,guatemala
27,1,none,guatemala
28,1,none,guatemala
29,1,none,guatemala
30,1,none,guatemala
31,1,none,guatemala
32,1,none,guatemala
33,1,none,guatemala
34,1,none,guatemala
35,1,none,guatemala
0,1,full,guatemala
1,1,full,guatemala
2,1,full,guatemala
3,1,full,guatemala
4,1,full,guatemala
5,1,full,guatemala
6,1,full,guatemala
7,1,full,guatemala
8,1,full,guatemala
9,1,full,guatemala
10,1,full,guatemala
11,1,full,guatemala
12,1,full,guatemala
13,1,full,guatemala
14,1,full,guatemala
15,1,full,guatemala
16,1,full,guatemala
17,1,full,guatemala
18,1,full,guatemala
