time_period,lndu_reallocation_factor,TransformationName,Nation
19,1,full,guatemala
20,1,full,guatemala
21,1,full,guatemala
22,1,full,guatemala
23,1,full,guatemala
24,1,full,guatemala
25,1,full,guatemala
26,1,full,guatemala
27,1,full,guatemala
28,1,full,guatemala
29,1,full,guatemala
30,1,full,guatemala
31,1,full,guatemala
32,1,full,guatemala
33,1,full,guatemala
34,1,full,guatemala
35,1,full,guatemala
0,1,none,guyana
1,1,none,guyana
2,1,none,guyana
3,1,none,guyana
4,1,none,guyana
5,1,none,guyana
6,1,none,guyana
7,1,none,guyana
8,1,none,guyana
9,1,none,guyana
10,1,none,guyana
11,1,none,guyana
12,1,none,guyana
13,1,none,guyana
14,1,none,guyana
15,1,none,guyana
16,1,none,guyana
17,1,none,guyana
18,1,none,guyana
19,1,none,guyana
20,1,none,guyana
21,1,none,guyana
22,1,none,guyana
23,1,none,guyana
24,1,none,guyana
25,1,none,guyana
26,1,none,guyana
27,1,none,guyana
28,1,none,guyana
29,1,none,guyana
30,1,none,guyana
31,1,none,guyana
32,1,none,guyana
33,1,none,guyana
34,1,none,guyana
35,1,none,guyana
0,1,full,guyana
1,1,full,guyana
2,1,full,guyana
3,1,full,guyana
4,1,full,guyana
5,1,full,guyana
6,1,full,guyana
7,1,full,guyana
8,1,full,guyana
9,1,full,guyana
10,1,full,guyana
11,1,full,guyana
12,1,full,guyana
13,1,full,guyana
14,1,full,guyana
15,1,full,guyana
16,1,full,guyana
17,1,full,guyana
18,1,full,guyana
19,1,full,guyana
20,1,full,guyana
21,1,full,guyana
22,1,full,guyana
23,1,full,guyana
24,1,full,guyana
25,1,full,guyana
26,1,full,guyana
27,1,full,guyana
28,1,full,guyana
29,1,full,guyana
30,1,full,guyana
31,1,full,guyana
32,1,full,guyana
33,1,full,guyana
34,1,full,guyana
35,1,full,guyana
0,1,none,haiti
1,1,none,haiti
2,1,none,haiti
3,1,none,haiti
4,1,none,haiti
5,1,none,haiti
6,1,none,haiti
7,1,none,haiti
8,1,none,haiti
9,1,none,haiti
10,1,none,haiti
11,1,none,haiti
12,1,none,haiti
13,1,none,haiti
14,1,none,haiti
15,1,none,haiti
16,1,none,haiti
17,1,none,haiti
18,1,none,haiti
19,1,none,haiti
20,1,none,haiti
21,1,none,haiti
22,1,none,haiti
23,1,none,haiti
24,1,none,haiti
25,1,none,haiti
26,1,none,haiti
27,1,none,haiti
28,1,none,haiti
29,1,none,haiti
30,1,none,haiti
31,1,none,haiti
32,1,none,haiti
33,1,none,haiti
34,1,none,haiti
35,1,none,haiti
0,1,full,haiti
1,1,full,haiti
2,1,full,haiti
3,1,full,haiti
4,1,full,haiti
5,1,full,haiti
6,1,full,haiti
7,1,full,haiti
8,1,full,haiti
9,1,full,haiti
10,1,full,haiti
11,1,full,haiti
12,1,full,haiti
13,1,full,haiti
14,1,full,haiti
15,1,full,haiti
16,1,full,haiti
17,1,full,haiti
18,1,full,haiti
19,1,full,haiti
20,1,full,haiti
21,1,full,haiti
22,1,full,haiti
23,1,full,haiti
24,1,full,haiti
25,1,full,haiti
26,1,full,haiti
27,1,full,haiti
28,1,full,haiti
29,1,full,haiti
30,1,full,haiti
31,1,full,haiti
32,1,full,haiti
33,1,full,haiti
34,1,full,haiti
35,1,full,haiti
0,1,none,honduras
1,1,none,honduras
2,1,none,honduras
3,1,none,honduras
4,1,none,honduras
5,1,none,honduras
6,1,none,honduras
7,1,none,honduras
8,1,none,honduras
9,1,none,honduras
10,1,none,honduras
11,1,none,honduras
12,1,none,honduras
13,1,none,honduras
14,1,none,honduras
15,1,none,honduras
16,1,none,honduras
17,1,none,honduras
18,1,none,honduras
19,1,none,honduras
20,1,none,honduras
21,1,none,honduras
22,1,none,honduras
23,1,none,honduras
24,1,none,honduras
25,1,none,honduras
26,1,none,honduras
27,1,none,honduras
28,1,none,honduras
29,1,none,honduras
30,1,none,honduras
31,1,none,honduras
32,1,none,honduras
33,1,none,honduras
34,1,none,honduras
35,1,none,honduras
0,1,full,honduras
1,1,full,honduras
2,1,full,honduras
3,1,full,honduras
4,1,full,honduras
5,1,full,honduras
6,1,full,honduras
7,1,full,honduras
8,1,full,honduras
9,1,full,honduras
10,1,full,honduras
11,1,full,honduras
12,1,full,honduras
13,1,full,honduras
14,1,full,honduras
15,1,full,honduras
16,1,full,honduras
17,1,full,honduras
18,1,full,honduras
19,1,full,honduras
20,1,full,honduras
21,1,full,honduras
22,1,full,honduras
23,1,full,honduras
24,1,full,honduras
25,1,full,honduras
26,1,full,honduras
27,1,full,honduras
28,1,full,honduras
29,1,full,honduras
30,1,full,honduras
31,1,full,honduras
32,1,full,honduras
33,1,full,honduras
34,1,full,honduras
35,1,full,honduras
0,1,none,jamaica
1,1,none,jamaica
2,1,none,jamaica
3,1,none,jamaica
4,1,none,jamaica
5,1,none,jamaica
6,1,none,jamaica
7,1,none,jamaica
8,1,none,jamaica
9,1,none,jamaica
10,1,none,jamaica
11,1,none,jamaica
12,1,none,jamaica
13,1,none,jamaica
14,1,none,jamaica
15,1,none,jamaica
16,1,none,jamaica
17,1,none,jamaica
18,1,none,jamaica
19,1,none,jamaica
20,1,none,jamaica
21,1,none,jamaica
22,1,none,jamaica
23,1,none,jamaica
24,1,none,jamaica
25,1,none,jamaica
26,1,none,jamaica
27,1,none,jamaica
28,1,none,jamaica
29,1,none,jamaica
30,1,none,jamaica
31,1,none,jamaica
32,1,none,jamaica
33,1,none,jamaica
34,1,none,jamaica
35,1,none,jamaica
0,1,full,jamaica
1,1,full,jamaica
2,1,full,jamaica
3,1,full,jamaica
4,1,full,jamaica
5,1,full,jamaica
6,1,full,jamaica
7,1,full,jamaica
8,1,full,jamaica
9,1,full,jamaica
10,1,full,jamaica
11,1,full,jamaica
12,1,full,jamaica
13,1,full,jamaica
14,1,full,jamaica
15,1,full,jamaica
16,1,full,jamaica
17,1,full,jamaica
18,1,full,jamaica
19,1,full,jamaica
20,1,full,jamaica
21,1,full,jamaica
22,1,full,jamaica
23,1,full,jamaica
24,1,full,jamaica
25,1,full,jamaica
26,1,full,jamaica
27,1,full,jamaica
28,1,full,jamaica
29,1,full,jamaica
30,1,full,jamaica
31,1,full,jamaica
32,1,full,jamaica
33,1,full,jamaica
34,1,full,jamaica
35,1,full,jamaica
0,1,none,mexico
1,1,none,mexico
2,1,none,mexico
3,1,none,mexico
4,1,none,mexico
5,1,none,mexico
6,1,none,mexico
7,1,none,mexico
8,1,none,mexico
9,1,none,mexico
10,1,none,mexico
11,1,none,mexico
12,1,none,mexico
13,1,none,mexico
14,1,none,mexico
15,1,none,mexico
16,1,none,mexico
17,1,none,mexico
18,1,none,mexico
19,1,none,mexico
20,1,none,mexico
21,1,none,mexico
22,1,none,mexico
23,1,none,mexico
24,1,none,mexico
25,1,none,mexico
26,1,none,mexico
27,1,none,mexico
28,1,none,mexico
29,1,none,mexico
30,1,none,mexico
31,1,none,mexico
32,1,none,mexico
33,1,none,mexico
34,1,none,mexico
35,1,none,mexico
0,1,full,mexico
1,1,full,mexico
2,1,full,mexico
3,1,full,mexico
4,1,full,mexico
5,1,full,mexico
6,1,full,mexico
7,1,full,mexico
8,1,full,mexico
9,1,full,mexico
10,1,full,mexico
11,1,full,mexico
12,1,full,mexico
13,1,full,mexico
14,1,full,mexico
15,1,full,mexico
16,1,full,mexico
17,1,full,mexico
18,1,full,mexico
19,1,full,mexico
20,1,full,mexico
21,1,full,mexico
22,1,full,mexico
23,1,full,mexico
24,1,full,mexico
25,1,full,mexico
26,1,full,mexico
27,1,full,mexico
28,1,full,mexico
29,1,full,mexico
30,1,full,mexico
31,1,full,mexico
32,1,full,mexico
33,1,full,mexico
34,1,full,mexico
35,1,full,mexico
0,1,none,nicaragua
1,1,none,nicaragua
2,1,none,nicaragua
3,1,none,nicaragua
4,1,none,nicaragua
5,1,none,nicaragua
6,1,none,nicaragua
7,1,none,nicaragua
8,1,none,nicaragua
9,1,none,nicaragua
10,1,none,nicaragua
11,1,none,nicaragua
12,1,none,nicaragua
13,1,none,nicaragua
14,1,none,nicaragua
15,1,none,nicaragua
16,1,none,nicaragua
17,1,none,nicaragua
18,1,none,nicaragua
19,1,none,nicaragua
20,1,none,nicaragua
21,1,none,nicaragua
22,1,none,nicaragua
23,1,none,nicaragua
24,1,none,nicaragua
25,1,none,nicaragua
26,1,none,nicaragua
27,1,none,nicaragua
28,1,none,nicaragua
29,1,none,nicaragua
30,1,none,nicaragua
31,1,none,nicaragua
32,1,none,nicaragua
33,1,none,nicaragua
34,1,none,nicaragua
35,1,none,nicaragua
0,1,full,nicaragua
1,1,full,nicaragua
2,1,full,nicaragua
3,1,full,nicaragua
4,1,full,nicaragua
5,1,full,nicaragua
6,1,full,nicaragua
7,1,full,nicaragua
8,1,full,nicaragua
9,1,full,nicaragua
10,1,full,nicaragua
11,1,full,nicaragua
12,1,full,nicaragua
13,1,full,nicaragua
14,1,full,nicaragua
15,1,full,nicaragua
16,1,full,nicaragua
17,1,full,nicaragua
18,1,full,nicaragua
19,1,full,nicaragua
20,1,full,nicaragua
21,1,full,nicaragua
22,1,full,nicaragua
23,1,full,nicaragua
24,1,full,nicaragua
25,1,full,nicaragua
26,1,full,nicaragua
27,1,full,nicaragua
28,1,full,nicaragua
29,1,full,nicaragua
30,1,full,nicaragua
31,1,full,nicaragua
32,1,full,nicaragua
33,1,full,nicaragua
34,1,full,nicaragua
35,1,full,nicaragua
0,1,none,panama
1,1,none,panama
2,1,none,panama
3,1,none,panama
4,1,none,panama
5,1,none,panama
6,1,none,panama
7,1,none,panama
8,1,none,panama
9,1,none,panama
10,1,none,panama
11,1,none,panama
12,1,none,panama
13,1,none,panama
14,1,none,panama
15,1,none,panama
16,1,none,panama
17,1,none,panama
18,1,none,panama
19,1,none,panama
20,1,none,panama
21,1,none,panama
22,1,none,panama
23,1,none,panama
24,1,none,panama
25,1,none,panama
26,1,none,panama
27,1,none,panama
28,1,none,panama
29,1,none,panama
30,1,none,panama
31,1,none,panama
32,1,none,panama
33,1,none,panama
34,1,none,panama
35,1,none,panama
0,1,full,panama
1,1,full,panama
2,1,full,panama
3,1,full,panama
4,1,full,panama
5,1,full,panama
6,1,full,panama
7,1,full,panama
8,1,full,panama
9,1,full,panama
10,1,full,panama
11,1,full,panama
12,1,full,panama
13,1,full,panama
14,1,full,panama
15,1,full,panama
16,1,full,panama
17,1,full,panama
18,1,full,panama
19,1,full,panama
20,1,full,panama
21,1,full,panama
22,1,full,panama
23,1,full,panama
24,1,full,panama
25,1,full,panama
26,1,full,panama
27,1,full,panama
28,1,full,panama
29,1,full,panama
30,1,full,panama
31,1,full,panama
32,1,full,panama
33,1,full,panama
34,1,full,panama
35,1,full,panama
0,1,none,paraguay
1,1,none,paraguay
2,1,none,paraguay
3,1,none,paraguay
4,1,none,paraguay
5,1,none,paraguay
6,1,none,paraguay
7,1,none,paraguay
8,1,none,paraguay
9,1,none,paraguay
10,1,none,paraguay
11,1,none,paraguay
12,1,none,paraguay
13,1,none,paraguay
14,1,none,paraguay
15,1,none,paraguay
16,1,none,paraguay
17,1,none,paraguay
18,1,none,paraguay
19,1,none,paraguay
20,1,none,paraguay
21,1,none,paraguay
22,1,none,paraguay
23,1,none,paraguay
24,1,none,paraguay
25,1,none,paraguay
26,1,none,paraguay
27,1,none,paraguay
28,1,none,paraguay
29,1,none,paraguay
30,1,none,paraguay
31,1,none,paraguay
32,1,none,paraguay
33,1,none,paraguay
34,1,none,paraguay
35,1,none,paraguay
0,1,full,paraguay
1,1,full,paraguay
2,1,full,paraguay
3,1,full,paraguay
4,1,full,paraguay
5,1,full,paraguay
6,1,full,paraguay
7,1,full,paraguay
8,1,full,paraguay
9,1,full,paraguay
10,1,full,paraguay
11,1,full,paraguay
12,1,full,paraguay
13,1,full,paraguay
14,1,full,paraguay
15,1,full,paraguay
16,1,full,paraguay
17,1,full,paraguay
18,1,full,paraguay
19,1,full,paraguay
20,1,full,paraguay
21,1,full,paraguay
22,1,full,paraguay
23,1,full,paraguay
24,1,full,paraguay
25,1,full,paraguay
26,1,full,paraguay
27,1,full,paraguay
28,1,full,paraguay
29,1,full,paraguay
30,1,full,paraguay
31,1,full,paraguay
32,1,full,paraguay
33,1,full,paraguay
34,1,full,paraguay
35,1,full,paraguay
0,1,none,peru
1,1,none,peru
2,1,none,peru
3,1,none,peru
4,1,none,peru
5,1,none,peru
6,1,none,peru
7,1,none,peru
8,1,none,peru
9,1,none,peru
10,1,none,peru
11,1,none,peru
12,1,none,peru
13,1,none,peru
14,1,none,peru
15,1,none,peru
16,1,none,peru
17,1,none,peru
18,1,none,peru
19,1,none,peru
20,1,none,peru
21,1,none,peru
22,1,none,peru
23,1,none,peru
24,1,none,peru
25,1,none,peru
26,1,none,peru
27,1,none,peru
28,1,none,peru
29,1,none,peru
30,1,none,peru
31,1,none,peru
32,1,none,peru
33,1,none,peru
34,1,none,peru
35,1,none,peru
0,1,full,peru
1,1,full,peru
2,1,full,peru
3,1,full,peru
4,1,full,peru
5,1,full,peru
6,1,full,peru
7,1,full,peru
8,1,full,peru
9,1,full,peru
10,1,full,peru
11,1,full,peru
12,1,full,peru
13,1,full,peru
14,1,full,peru
15,1,full,peru
16,1,full,peru
17,1,full,peru
18,1,full,peru
19,1,full,peru
20,1,full,peru
21,1,full,peru
22,1,full,peru
23,1,full,peru
24,1,full,peru
25,1,full,peru
26,1,full,peru
27,1,full,peru
28,1,full,peru
29,1,full,peru
30,1,full,peru
31,1,full,peru
32,1,full,peru
33,1,full,peru
34,1,full,peru
35,1,full,peru
0,1,none,suriname
1,1,none,suriname
2,1,none,suriname
3,1,none,suriname
4,1,none,suriname
5,1,none,suriname
6,1,none,suriname
7,1,none,suriname
8,1,none,suriname
9,1,none,suriname
10,1,none,suriname
11,1,none,suriname
12,1,none,suriname
13,1,none,suriname
14,1,none,suriname
15,1,none,suriname
16,1,none,suriname
17,1,none,suriname
18,1,none,suriname
19,1,none,suriname
20,1,none,suriname
21,1,none,suriname
22,1,none,suriname
23,1,none,suriname
24,1,none,suriname
25,1,none,suriname
26,1,none,suriname
27,1,none,suriname
28,1,none,suriname
29,1,none,suriname
30,1,none,suriname
31,1,none,suriname
32,1,none,suriname
33,1,none,suriname
34,1,none,suriname
35,1,none,suriname
0,1,full,suriname
1,1,full,suriname
2,1,full,suriname
3,1,full,suriname
4,1,full,suriname
5,1,full,suriname
6,1,full,suriname
7,1,full,suriname
8,1,full,suriname
9,1,full,suriname
10,1,full,suriname
11,1,full,suriname
12,1,full,suriname
13,1,full,suriname
14,1,full,suriname
15,1,full,suriname
16,1,full,suriname
17,1,full,suriname
18,1,full,suriname
19,1,full,suriname
20,1,full,suriname
21,1,full,suriname
22,1,full,suriname
23,1,full,suriname
24,1,full,suriname
25,1,full,suriname
26,1,full,suriname
27,1,full,suriname
28,1,full,suriname
29,1,full,suriname
30,1,full,suriname
31,1,full,suriname
32,1,full,suriname
33,1,full,suriname
34,1,full,suriname
35,1,full,suriname
0,1,none,trinidad_and_tobago
1,1,none,trinidad_and_tobago
2,1,none,trinidad_and_tobago
3,1,none,trinidad_and_tobago
4,1,none,trinidad_and_tobago
5,1,none,trinidad_and_tobago
6,1,none,trinidad_and_tobago
7,1,none,trinidad_and_tobago
8,1,none,trinidad_and_tobago
9,1,none,trinidad_and_tobago
10,1,none,trinidad_and_tobago
11,1,none,trinidad_and_tobago
12,1,none,trinidad_and_tobago
13,1,none,trinidad_and_tobago
14,1,none,trinidad_and_tobago
15,1,none,trinidad_and_tobago
16,1,none,trinidad_and_tobago
17,1,none,trinidad_and_tobago
18,1,none,trinidad_and_tobago
19,1,none,trinidad_and_tobago
20,1,none,trinidad_and_tobago
21,1,none,trinidad_and_tobago
22,1,none,trinidad_and_tobago
23,1,none,trinidad_and_tobago
24,1,none,trinidad_and_tobago
25,1,none,trinidad_and_tobago
26,1,none,trinidad_and_tobago
27,1,none,trinidad_and_tobago
28,1,none,trinidad_and_tobago
29,1,none,trinidad_and_tobago
30,1,none,trinidad_and_tobago
31,1,none,trinidad_and_tobago
32,1,none,trinidad_and_tobago
33,1,none,trinidad_and_tobago
34,1,none,trinidad_and_tobago
35,1,none,trinidad_and_tobago
0,1,full,trinidad_and_tobago
1,1,full,trinidad_and_tobago
2,1,full,trinidad_and_tobago
3,1,full,trinidad_and_tobago
4,1,full,trinidad_and_tobago
5,1,full,trinidad_and_tobago
6,1,full,trinidad_and_tobago
7,1,full,trinidad_and_tobago
8,1,full,trinidad_and_tobago
9,1,full,trinidad_and_tobago
10,1,full,trinidad_and_tobago
11,1,full,trinidad_and_tobago
12,1,full,trinidad_and_tobago
13,1,full,trinidad_and_tobago
14,1,full,trinidad_and_tobago
15,1,full,trinidad_and_tobago
16,1,full,trinidad_and_tobago
17,1,full,trinidad_and_tobago
18,1,full,trinidad_and_tobago
19,1,full,trinidad_and_tobago
20,1,full,trinidad_and_tobago
21,1,full,trinidad_and_tobago
22,1,full,trinidad_and_tobago
23,1,full,trinidad_and_tobago
24,1,full,trinidad_and_tobago
25,1,full,trinidad_and_tobago
26,1,full,trinidad_and_tobago
27,1,full,trinidad_and_tobago
28,1,full,trinidad_and_tobago
29,1,full,trinidad_and_tobago
30,1,full,trinidad_and_tobago
31,1,full,trinidad_and_tobago
32,1,full,trinidad_and_tobago
33,1,full,trinidad_and_tobago
34,1,full,trinidad_and_tobago
35,1,full,trinidad_and_tobago
0,1,none,uruguay
1,1,none,uruguay
2,1,none,uruguay
3,1,none,uruguay
4,1,none,uruguay
5,1,none,uruguay
6,1,none,uruguay
7,1,none,uruguay
8,1,none,uruguay
9,1,none,uruguay
10,1,none,uruguay
11,1,none,uruguay
12,1,none,uruguay
13,1,none,uruguay
14,1,none,uruguay
15,1,none,uruguay
16,1,none,uruguay
17,1,none,uruguay
18,1,none,uruguay
19,1,none,uruguay
20,1,none,uruguay
21,1,none,uruguay
22,1,none,uruguay
23,1,none,uruguay
24,1,none,uruguay
25,1,none,uruguay
26,1,none,uruguay
27,1,none,uruguay
28,1,none,uruguay
29,1,none,uruguay
30,1,none,uruguay
31,1,none,uruguay
32,1,none,uruguay
33,1,none,uruguay
34,1,none,uruguay
35,1,none,uruguay
0,1,full,uruguay
1,1,full,uruguay
2,1,full,uruguay
3,1,full,uruguay
4,1,full,uruguay
5,1,full,uruguay
6,1,full,uruguay
7,1,full,uruguay
8,1,full,uruguay
9,1,full,uruguay
10,1,full,uruguay
11,1,full,uruguay
12,1,full,uruguay
13,1,full,uruguay
14,1,full,uruguay
15,1,full,uruguay
16,1,full,uruguay
17,1,full,uruguay
18,1,full,uruguay
19,1,full,uruguay
20,1,full,uruguay
21,1,full,uruguay
22,1,full,uruguay
23,1,full,uruguay
24,1,full,uruguay
25,1,full,uruguay
26,1,full,uruguay
27,1,full,uruguay
28,1,full,uruguay
29,1,full,uruguay
30,1,full,uruguay
31,1,full,uruguay
32,1,full,uruguay
33,1,full,uruguay
34,1,full,uruguay
35,1,full,uruguay
0,1,none,venezuela
1,1,none,venezuela
2,1,none,venezuela
3,1,none,venezuela
4,1,none,venezuela
5,1,none,venezuela
6,1,none,venezuela
7,1,none,venezuela
8,1,none,venezuela
9,1,none,venezuela
10,1,none,venezuela
11,1,none,venezuela
12,1,none,venezuela
13,1,none,venezuela
14,1,none,venezuela
15,1,none,venezuela
16,1,none,venezuela
17,1,none,venezuela
18,1,none,venezuela
19,1,none,venezuela
20,1,none,venezuela
21,1,none,venezuela
22,1,none,venezuela
23,1,none,venezuela
24,1,none,venezuela
25,1,none,venezuela
26,1,none,venezuela
27,1,none,venezuela
28,1,none,venezuela
29,1,none,venezuela
30,1,none,venezuela
31,1,none,venezuela
32,1,none,venezuela
33,1,none,venezuela
34,1,none,venezuela
35,1,none,venezuela
0,1,full,venezuela
1,1,full,venezuela
2,1,full,venezuela
3,1,full,venezuela
4,1,full,venezuela
5,1,full,venezuela
6,1,full,venezuela
7,1,full,venezuela
8,1,full,venezuela
9,1,full,venezuela
10,1,full,venezuela
11,1,full,venezuela
12,1,full,venezuela
13,1,full,venezuela
14,1,full,venezuela
15,1,full,venezuela
16,1,full,venezuela
17,1,full,venezuela
18,1,full,venezuela
19,1,full,venezuela
20,1,full,venezuela
21,1,full,venezuela
22,1,full,venezuela
23,1,full,venezuela
24,1,full,venezuela
25,1,full,venezuela
26,1,full,venezuela
27,1,full,venezuela
28,1,full,venezuela
29,1,full,venezuela
30,1,full,venezuela
31,1,full,venezuela
32,1,full,venezuela
33,1,full,venezuela
34,1,full,venezuela
35,1,full,venezuela
