"population_urban","population_rural","time_period","nation"
38471261.51325,3573833.03675,0,"Argentina"
38793803.6874,3556178.9926,1,"Argentina"
39116345.86155,3538524.94845,2,"Argentina"
39438888.0357,3520870.9043,3,"Argentina"
39761430.20985,3503216.86015,4,"Argentina"
40083972.384,3485562.816,5,"Argentina"
40386364.0848376,3457040.99116244,6,"Argentina"
40688755.7856751,3428519.16632489,7,"Argentina"
40991147.4865127,3399997.34148733,8,"Argentina"
41293539.1873502,3371475.51664978,9,"Argentina"
41595930.8881878,3342953.69181222,10,"Argentina"
41872920.2440733,3309255.28792666,11,"Argentina"
42149909.5999589,3275556.88404111,12,"Argentina"
42426898.9558444,3241858.48015555,13,"Argentina"
42703888.31173,3208160.07627,14,"Argentina"
42980877.6676156,3174461.67238444,15,"Argentina"
43231907.7495971,3136098.59040289,16,"Argentina"
43482937.8315787,3097735.50842133,17,"Argentina"
43733967.9135602,3059372.42643977,18,"Argentina"
43984997.9955418,3021009.34445822,19,"Argentina"
44236028.0775233,2982646.26247666,20,"Argentina"
44462965.3560805,2940279.47391955,21,"Argentina"
44689902.6346376,2897912.68536244,22,"Argentina"
44916839.9131947,2855545.89680533,23,"Argentina"
45143777.1917518,2813179.10824822,24,"Argentina"
45370714.4703089,2770812.31969111,25,"Argentina"
45559917.5148177,2724193.27518233,26,"Argentina"
45749120.5593264,2677574.23067355,27,"Argentina"
45938323.6038352,2630955.18616478,28,"Argentina"
46127526.648344,2584336.141656,29,"Argentina"
46316729.6928528,2537717.09714722,30,"Argentina"
46471226.0433522,2487733.99864778,31,"Argentina"
46625722.3938517,2437750.90014833,32,"Argentina"
46780218.7443511,2387767.80164889,33,"Argentina"
46934715.0948506,2337784.70314944,34,"Argentina"
47089211.44535,2287801.60465,35,"Argentina"
302666.6821775,63093.6588225,0,"Bahamas"
306427.179906,63643.543694,1,"Bahamas"
310187.6776345,64193.4285655,2,"Bahamas"
313948.175363,64743.313437,3,"Bahamas"
317708.6730915,65293.1983085,4,"Bahamas"
321469.17082,65843.08318,5,"Bahamas"
325036.8465376,66290.2230624,6,"Bahamas"
328604.5222552,66737.3629448,7,"Bahamas"
332172.1979728,67184.5028272,8,"Bahamas"
335739.8736904,67631.6427096,9,"Bahamas"
339307.549408,68078.782592,10,"Bahamas"
342622.507523111,68448.5112768889,11,"Bahamas"
345937.465638222,68818.2399617778,12,"Bahamas"
349252.423753333,69187.9686466667,13,"Bahamas"
352567.381868444,69557.6973315556,14,"Bahamas"
355882.339983556,69927.4260164445,15,"Bahamas"
358881.326993244,70210.9870067556,16,"Bahamas"
361880.314002933,70494.5479970667,17,"Bahamas"
364879.301012622,70778.1089873778,18,"Bahamas"
367878.288022311,71061.6699776889,19,"Bahamas"
370877.275032,71345.230968,20,"Bahamas"
373524.541334889,71540.0348651112,21,"Bahamas"
376171.807637778,71734.8387622223,22,"Bahamas"
378819.073940667,71929.6426593334,23,"Bahamas"
381466.340243556,72124.4465564445,24,"Bahamas"
384113.606546444,72319.2504535556,25,"Bahamas"
386384.4402416,72425.2657584,26,"Bahamas"
388655.273936756,72531.2810632445,27,"Bahamas"
390926.107631911,72637.2963680889,28,"Bahamas"
393196.941327067,72743.3116729334,29,"Bahamas"
395467.775022222,72849.3269777778,30,"Bahamas"
397446.164840311,72886.4445596889,31,"Bahamas"
399424.5546584,72923.5621416001,32,"Bahamas"
401402.944476489,72960.6797235111,33,"Bahamas"
403381.334294578,72997.7973054223,34,"Bahamas"
405359.724112667,73034.9148873334,35,"Bahamas"
154283.9647585,185473.7202415,0,"Belize"
156988.8121948,187777.4236052,1,"Belize"
159693.6596311,190081.1269689,2,"Belize"
162398.5070674,192384.8303326,3,"Belize"
165103.3545037,194688.5336963,4,"Belize"
167808.20194,196992.23706,5,"Belize"
170048.120406222,198904.598793778,6,"Belize"
172288.038872444,200816.960527556,7,"Belize"
174527.957338667,202729.322261333,8,"Belize"
176767.875804889,204641.683995111,9,"Belize"
179007.794271111,206554.045728889,10,"Belize"
180992.075973378,208100.641226622,11,"Belize"
182976.357675644,209647.236724356,12,"Belize"
184960.639377911,211193.832222089,13,"Belize"
186944.921080178,212740.427719822,14,"Belize"
188929.202782444,214287.023217556,15,"Belize"
190683.698883622,215513.539916378,16,"Belize"
192438.1949848,216740.0566152,17,"Belize"
194192.691085978,217966.573314022,18,"Belize"
195947.187187156,219193.090012844,19,"Belize"
197701.683288333,220419.606711667,20,"Belize"
199241.434691822,221357.318908178,21,"Belize"
200781.186095311,222295.031104689,22,"Belize"
202320.9374988,223232.7433012,23,"Belize"
203860.688902289,224170.455497711,24,"Belize"
205400.440305778,225108.167694222,25,"Belize"
206710.696435511,225754.608364489,26,"Belize"
208020.952565245,226401.049034755,27,"Belize"
209331.208694978,227047.489705022,28,"Belize"
210641.464824711,227693.930375289,29,"Belize"
211951.720954445,228340.371045555,30,"Belize"
213030.030347289,228706.704852711,31,"Belize"
214108.339740133,229073.038659867,32,"Belize"
215186.649132978,229439.372467022,33,"Belize"
216264.958525822,229805.706274178,34,"Belize"
217343.267918667,230172.040081333,35,"Belize"
7281369.895702,3365464.284298,0,"Bolivia"
7412665.9971616,3372758.6048384,1,"Bolivia"
7543962.0986212,3380052.9253788,2,"Bolivia"
7675258.2000808,3387347.2459192,3,"Bolivia"
7806554.3015404,3394641.5664596,4,"Bolivia"
7937850.403,3401935.887,5,"Bolivia"
8072215.02249011,3399894.70350989,6,"Bolivia"
8206579.64198022,3397853.52001978,7,"Bolivia"
8340944.26147033,3395812.33652967,8,"Bolivia"
8475308.88096044,3393771.15303956,9,"Bolivia"
8609673.50045055,3391729.96954944,10,"Bolivia"
8739808.686508,3381899.145492,11,"Bolivia"
8869943.87256544,3372068.32143456,12,"Bolivia"
9000079.05862289,3362237.49737711,13,"Bolivia"
9130214.24468033,3352406.67331967,14,"Bolivia"
9260349.43073778,3342575.84926222,15,"Bolivia"
9383474.38315489,3324872.71684511,16,"Bolivia"
9506599.335572,3307169.584428,17,"Bolivia"
9629724.28798911,3289466.45201089,18,"Bolivia"
9752849.24040622,3271763.31959378,19,"Bolivia"
9875974.19282333,3254060.18717667,20,"Bolivia"
9991649.77054978,3229362.10345022,21,"Bolivia"
10107325.3482762,3204664.01972378,22,"Bolivia"
10223000.9260027,3179965.93599733,23,"Bolivia"
10338676.5037291,3155267.85227089,24,"Bolivia"
10454352.0814556,3130569.76854444,25,"Bolivia"
10561111.1473211,3099437.04067889,26,"Bolivia"
10667870.2131867,3068304.31281333,27,"Bolivia"
10774629.2790522,3037171.58494778,28,"Bolivia"
10881388.3449178,3006038.85708222,29,"Bolivia"
10988147.4107833,2974906.12921667,30,"Bolivia"
11086188.2857993,2938382.63220067,31,"Bolivia"
11184229.1608153,2901859.13518467,32,"Bolivia"
11282270.0358313,2865335.63816867,33,"Bolivia"
11380310.9108473,2828812.14115267,34,"Bolivia"
11478351.7858633,2792288.64413667,35,"Bolivia"
174241853.72127,28908261.37873,0,"Brazil"
176062703.468016,28605917.911984,1,"Brazil"
177883553.214762,28303574.445238,2,"Brazil"
179704402.961508,28001230.978492,3,"Brazil"
181525252.708254,27698887.511746,4,"Brazil"
183346102.455,27396544.045,5,"Brazil"
185080556.618893,26997623.2211067,6,"Brazil"
186815010.782787,26598702.3972133,7,"Brazil"
188549464.94668,26199781.57332,8,"Brazil"
190283919.110573,25800860.7494267,9,"Brazil"
192018373.274467,25401939.9255333,10,"Brazil"
193558733.920527,24941334.3794733,11,"Brazil"
195099094.566587,24480728.8334133,12,"Brazil"
196639455.212647,24020123.2873533,13,"Brazil"
198179815.858707,23559517.7412933,14,"Brazil"
199720176.504767,23098912.1952333,15,"Brazil"
201056726.329743,22586763.5702567,16,"Brazil"
202393276.15472,22074614.94528,17,"Brazil"
203729825.979697,21562466.3203034,18,"Brazil"
205066375.804673,21050317.6953267,19,"Brazil"
206402925.62965,20538169.07035,20,"Brazil"
207535591.37604,19985403.10396,21,"Brazil"
208668257.12243,19432637.13757,22,"Brazil"
209800922.86882,18879871.17118,23,"Brazil"
210933588.61521,18327105.20479,24,"Brazil"
212066254.3616,17774339.2384,25,"Brazil"
212987969.639397,17190791.4206034,26,"Brazil"
213909684.917193,16607243.6028067,27,"Brazil"
214831400.19499,16023695.78501,28,"Brazil"
215753115.472787,15440147.9672134,29,"Brazil"
216674830.750583,14856600.1494167,30,"Brazil"
217348443.038707,14250335.4412934,31,"Brazil"
218022055.32683,13644070.73317,32,"Brazil"
218695667.614953,13037806.0250467,33,"Brazil"
219369279.903077,12431541.3169234,34,"Brazil"
220042892.1912,11825276.6088,35,"Brazil"
86251.000625,189752.201375,0,"Barbados"
86276.310186,190253.702014,1,"Barbados"
86301.619747,190755.202653,2,"Barbados"
86326.929308,191256.703292,3,"Barbados"
86352.238869,191758.203931,4,"Barbados"
86377.54843,192259.70457,5,"Barbados"
87271.9870134231,191700.525386577,6,"Barbados"
88166.4255968462,191141.346203154,7,"Barbados"
89060.8641802692,190582.167019731,8,"Barbados"
89955.3027636923,190022.987836308,9,"Barbados"
90849.7413471154,189463.808652885,10,"Barbados"
91669.5910786505,188730.71672135,11,"Barbados"
92489.4408101855,187997.624789815,12,"Barbados"
93309.2905417205,187264.532858279,13,"Barbados"
94129.1402732556,186531.440926744,14,"Barbados"
94948.9900047906,185798.348995209,15,"Barbados"
95677.332701653,184890.078498347,16,"Barbados"
96405.6753985154,183981.808001485,17,"Barbados"
97134.0180953778,183073.537504622,18,"Barbados"
97862.3607922402,182165.26700776,19,"Barbados"
98590.7034891026,181256.996510897,20,"Barbados"
99182.0645949025,180125.699805097,21,"Barbados"
99773.4257007026,178994.403099297,22,"Barbados"
100364.786806503,177863.106393497,23,"Barbados"
100956.147912303,176731.809687697,24,"Barbados"
101547.509018103,175600.512981897,25,"Barbados"
102001.290733414,174285.239666586,26,"Barbados"
102455.072448725,172969.966351275,27,"Barbados"
102908.854164036,171654.693035964,28,"Barbados"
103362.635879347,170339.419720653,29,"Barbados"
103816.417594658,169024.146405342,30,"Barbados"
104165.311514203,167609.522485797,31,"Barbados"
104514.205433749,166194.898566251,32,"Barbados"
104863.099353294,164780.274646706,33,"Barbados"
105211.993272839,163365.650727161,34,"Barbados"
105560.887192385,161951.026807615,35,"Barbados"
15611307.52272,2258778.92728,0,"Chile"
15756818.598336,2252628.493664,1,"Chile"
15902329.673952,2246478.060048,2,"Chile"
16047840.749568,2240327.626432,3,"Chile"
16193351.825184,2234177.192816,4,"Chile"
16338862.9008,2228026.7592,5,"Chile"
16465553.8386633,2224232.34933667,6,"Chile"
16592244.7765267,2220437.93947333,7,"Chile"
16718935.71439,2216643.52961,8,"Chile"
16845626.6522533,2212849.11974667,9,"Chile"
16972317.5901167,2209054.70988333,10,"Chile"
17080581.8261133,2201639.75388667,11,"Chile"
17188846.06211,2194224.79789,12,"Chile"
17297110.2981067,2186809.84189333,13,"Chile"
17405374.5341033,2179394.88589667,14,"Chile"
17513638.7701,2171979.9299,15,"Chile"
17601633.273111,2161084.444889,16,"Chile"
17689627.776122,2150188.959878,17,"Chile"
17777622.279133,2139293.474867,18,"Chile"
17865616.782144,2128397.989856,19,"Chile"
17953611.285155,2117502.504845,20,"Chile"
18020935.0003947,2103464.52560533,21,"Chile"
18088258.7156343,2089426.54636566,22,"Chile"
18155582.430874,2075388.567126,23,"Chile"
18222906.1461137,2061350.58788633,24,"Chile"
18290229.8613533,2047312.60864666,25,"Chile"
18338398.2043243,2030674.64567566,26,"Chile"
18386566.5472953,2014036.68270466,27,"Chile"
18434734.8902663,1997398.71973366,28,"Chile"
18482903.2332373,1980760.75676266,29,"Chile"
18531071.5762083,1964122.79379166,30,"Chile"
18557995.1080287,1945022.70597133,31,"Chile"
18584918.639849,1925922.618151,32,"Chile"
18611842.1716693,1906822.53033066,33,"Chile"
18638765.7034897,1887722.44251033,34,"Chile"
18665689.23531,1868622.35469,35,"Chile"
39347527.496184,9984879.093816,0,"Colombia"
39939783.0370272,9972760.8029728,1,"Colombia"
40532038.5778704,9960642.5121296,2,"Colombia"
41124294.1187136,9948524.2212864,3,"Colombia"
41716549.6595568,9936405.9304432,4,"Colombia"
42308805.2004,9924287.6396,5,"Colombia"
42905601.1189573,9863900.58504266,6,"Colombia"
43502397.0375147,9803513.53048533,7,"Colombia"
44099192.956072,9743126.475928,8,"Colombia"
44695988.8746293,9682739.42137066,9,"Colombia"
45292784.7931867,9622352.36681333,10,"Colombia"
45860197.1627333,9537466.29126666,11,"Colombia"
46427609.53228,9452580.21572,12,"Colombia"
46995021.9018267,9367694.14017333,13,"Colombia"
47562434.2713733,9282808.06462666,14,"Colombia"
48129846.64092,9197921.98907999,15,"Colombia"
48657151.8222753,9089504.56772466,16,"Colombia"
49184457.0036307,8981087.14636932,17,"Colombia"
49711762.184986,8872669.72501399,18,"Colombia"
50239067.3663413,8764252.30365866,19,"Colombia"
50766372.5476967,8655834.88230332,20,"Colombia"
51255277.0789165,8527389.32108355,21,"Colombia"
51744181.6101362,8398943.75986377,22,"Colombia"
52233086.141356,8270498.19864399,23,"Colombia"
52721990.6725758,8142052.63742421,24,"Colombia"
53210895.2037956,8013607.07620443,25,"Colombia"
53658865.4256509,7867731.1643491,26,"Colombia"
54106835.6475062,7721855.25249376,27,"Colombia"
54554805.8693616,7575979.34063843,28,"Colombia"
55002776.0912169,7430103.42878309,29,"Colombia"
55450746.3130722,7284227.51692776,30,"Colombia"
55845566.6158658,7122423.0921342,31,"Colombia"
56240386.9186594,6960618.66734065,32,"Colombia"
56635207.2214529,6798814.24254709,33,"Colombia"
57030027.5242465,6637009.81775354,34,"Colombia"
57424847.82704,6475205.39295998,35,"Colombia"
3843853.4411424,1157256.9428576,0,"Costa Rica"
3937920.93033192,1128199.69466808,1,"Costa Rica"
4031988.41952144,1099142.44647856,2,"Costa Rica"
4126055.90871096,1070085.19828904,3,"Costa Rica"
4220123.39790048,1041027.95009952,4,"Costa Rica"
4314190.88709,1011970.70191,5,"Costa Rica"
4414323.58532177,972667.906478233,6,"Costa Rica"
4514456.28355353,933365.111046466,7,"Costa Rica"
4614588.9817853,894062.3156147,8,"Costa Rica"
4714721.68001707,854759.520182933,9,"Costa Rica"
4814854.37824883,815456.724751166,10,"Costa Rica"
4916172.2556598,770181.8689402,11,"Costa Rica"
5017490.13307077,724907.013129233,12,"Costa Rica"
5118808.01048173,679632.157318266,13,"Costa Rica"
5220125.8878927,634357.301507299,14,"Costa Rica"
5321443.76530367,589082.445696333,15,"Costa Rica"
5422415.92318523,538433.296214766,16,"Costa Rica"
5523388.0810668,487784.146733199,17,"Costa Rica"
5624360.23894837,437134.997251633,18,"Costa Rica"
5725332.39682993,386485.847770066,19,"Costa Rica"
5826304.5547115,335836.698288499,20,"Costa Rica"
5926447.33825267,280591.062347333,21,"Costa Rica"
6026590.12179383,225345.426406166,22,"Costa Rica"
6126732.905335,170099.790464999,23,"Costa Rica"
6226875.68887617,114854.154523832,24,"Costa Rica"
6327018.47241734,59608.5185826658,25,"Costa Rica"
6363799.88679587,60840.1998041326,26,"Costa Rica"
6400581.3011744,62071.8810255995,27,"Costa Rica"
6437362.71555293,63303.5622470663,28,"Costa Rica"
6474144.12993147,64535.2434685332,29,"Costa Rica"
6510925.54431,65766.9246900001,30,"Costa Rica"
6542462.866104,66085.4834960001,31,"Costa Rica"
6574000.187898,66404.0423020001,32,"Costa Rica"
6605537.509692,66722.6011080001,33,"Costa Rica"
6637074.831486,67041.1599140001,34,"Costa Rica"
6668612.15328,67359.7187200001,35,"Costa Rica"
8267237.352432,2254892.407568,0,"Dominican Republic"
8450722.5124656,2180153.1395344,1,"Dominican Republic"
8634207.6724992,2105413.8715008,2,"Dominican Republic"
8817692.8325328,2030674.6034672,3,"Dominican Republic"
9001177.9925664,1955935.3354336,4,"Dominican Republic"
9184663.1526,1881196.0674,5,"Dominican Republic"
9371791.31576811,1793080.75823189,6,"Dominican Republic"
9558919.47893622,1704965.44906378,7,"Dominican Republic"
9746047.64210433,1616850.13989567,8,"Dominican Republic"
9933175.80527244,1528734.83072756,9,"Dominican Republic"
10120303.9684406,1440619.52155944,10,"Dominican Republic"
10307159.0695384,1342719.22446156,11,"Dominican Republic"
10494014.1706363,1244818.92736367,12,"Dominican Republic"
10680869.2717342,1146918.63026578,13,"Dominican Republic"
10867724.3728321,1049018.33316789,14,"Dominican Republic"
11054579.47393,951118.036070001,15,"Dominican Republic"
11237401.4580463,844718.611953668,16,"Dominican Republic"
11420223.4421627,738319.187837334,17,"Dominican Republic"
11603045.426279,631919.763721001,18,"Dominican Republic"
11785867.4103953,525520.339604667,19,"Dominican Republic"
11968689.3945117,419120.915488334,20,"Dominican Republic"
12088789.3918293,360689.034170667,21,"Dominican Republic"
12208889.389147,302257.152853,22,"Dominican Republic"
12328989.3864647,243825.271535334,23,"Dominican Republic"
12449089.3837823,185393.390217667,24,"Dominican Republic"
12569189.3811,126961.5089,25,"Dominican Republic"
12618215.04636,127456.71764,26,"Dominican Republic"
12667240.71162,127951.92638,27,"Dominican Republic"
12716266.37688,128447.13512,28,"Dominican Republic"
12765292.04214,128942.34386,29,"Dominican Republic"
12814317.7074,129437.5526,30,"Dominican Republic"
12851625.80592,129814.40208,31,"Dominican Republic"
12888933.90444,130191.25156,32,"Dominican Republic"
12926242.00296,130568.10104,33,"Dominican Republic"
12963550.10148,130944.95052,34,"Dominican Republic"
13000858.2,131321.8,35,"Dominican Republic"
9786072.58014,5649373.12986,0,"Ecuador"
9921311.743472,5696503.698528,1,"Ecuador"
10056550.906804,5743634.267196,2,"Ecuador"
10191790.070136,5790764.835864,3,"Ecuador"
10327029.233468,5837895.404532,4,"Ecuador"
10462268.3968,5885025.9732,5,"Ecuador"
10593858.9139267,5924698.15807333,6,"Ecuador"
10725449.4310533,5964370.34294667,7,"Ecuador"
10857039.94818,6004042.52782,8,"Ecuador"
10988630.4653067,6043714.71269333,9,"Ecuador"
11120220.9824333,6083386.89756667,10,"Ecuador"
11242756.0802522,6114889.99374778,11,"Ecuador"
11365291.1780711,6146393.08992889,12,"Ecuador"
11487826.27589,6177896.18611,13,"Ecuador"
11610361.3737089,6209399.28229111,14,"Ecuador"
11732896.4715278,6240902.37847222,15,"Ecuador"
11845349.8901306,6264206.57986944,16,"Ecuador"
11957803.3087333,6287510.78126666,17,"Ecuador"
12070256.7273361,6310814.98266389,18,"Ecuador"
12182710.1459389,6334119.18406111,19,"Ecuador"
12295163.5645417,6357423.38545833,20,"Ecuador"
12397141.25916,6372857.12684,21,"Ecuador"
12499118.9537783,6388290.86822166,22,"Ecuador"
12601096.6483967,6403724.60960333,23,"Ecuador"
12703074.343015,6419158.350985,24,"Ecuador"
12805052.0376333,6434592.09236666,25,"Ecuador"
12893762.4043756,6441315.77162444,26,"Ecuador"
12982472.7711178,6448039.45088222,27,"Ecuador"
13071183.13786,6454763.13014,28,"Ecuador"
13159893.5046022,6461486.80939777,29,"Ecuador"
13248603.8713444,6468210.48865555,30,"Ecuador"
13324305.4401622,6466967.68383777,31,"Ecuador"
13400007.00898,6465724.87902,32,"Ecuador"
13475708.5777978,6464482.07420222,33,"Ecuador"
13551410.1466156,6463239.26938444,34,"Ecuador"
13627111.7154333,6461996.46456666,35,"Ecuador"
7989207.64757,7998800.45243,0,"Guatemala"
8211910.687016,8079543.040984,1,"Guatemala"
8434613.726462,8160285.629538,2,"Guatemala"
8657316.765908,8241028.218092,3,"Guatemala"
8880019.805354,8321770.806646,4,"Guatemala"
9102722.8448,8402513.3952,5,"Guatemala"
9325668.64172,8474477.68628,6,"Guatemala"
9548614.43864,8546441.97736,7,"Guatemala"
9771560.23556,8618406.26844,8,"Guatemala"
9994506.03248,8690370.55952,9,"Guatemala"
10217451.8294,8762334.8506,10,"Guatemala"
10445315.8372067,8818790.82479333,11,"Guatemala"
10673179.8450133,8875246.79898667,12,"Guatemala"
10901043.85282,8931702.77318,13,"Guatemala"
11128907.8606267,8988158.74737333,14,"Guatemala"
11356771.8684333,9044614.72156666,15,"Guatemala"
11583649.4715467,9082211.06445333,16,"Guatemala"
11810527.07466,9119807.40734,17,"Guatemala"
12037404.6777733,9157403.75022667,18,"Guatemala"
12264282.2808867,9195000.09311333,19,"Guatemala"
12491159.884,9232596.436,20,"Guatemala"
12711695.3776933,9249502.04430667,21,"Guatemala"
12932230.8713867,9266407.65261333,22,"Guatemala"
13152766.36508,9283313.26092,23,"Guatemala"
13373301.8587733,9300218.86922667,24,"Guatemala"
13593837.3524667,9317124.47753333,25,"Guatemala"
13810905.68862,9317595.33938,26,"Guatemala"
14027974.0247733,9318066.20122666,27,"Guatemala"
14245042.3609267,9318537.06307333,28,"Guatemala"
14462110.69708,9319007.92492,29,"Guatemala"
14679179.0332333,9319478.78676666,30,"Guatemala"
14888994.7750667,9303029.17693333,31,"Guatemala"
15098810.5169,9286579.5671,32,"Guatemala"
15308626.2587333,9270129.95726666,33,"Guatemala"
15518442.0005667,9253680.34743333,34,"Guatemala"
15728257.7424,9237230.7376,35,"Guatemala"
201746.7969268,561289.5000732,0,"Guyana"
203208.93192344,562077.49227656,1,"Guyana"
204671.06692008,562865.48447992,2,"Guyana"
206133.20191672,563653.47668328,3,"Guyana"
207595.33691336,564441.46888664,4,"Guyana"
209057.47191,565229.46109,5,"Guyana"
209973.33262,565775.80558,6,"Guyana"
210889.19333,566322.15007,7,"Guyana"
211805.05404,566868.49456,8,"Guyana"
212720.91475,567414.83905,9,"Guyana"
213636.77546,567961.18354,10,"Guyana"
214192.441418667,567530.580181333,11,"Guyana"
214748.107377333,567099.976822667,12,"Guyana"
215303.773336,566669.373464,13,"Guyana"
215859.439294667,566238.770105333,14,"Guyana"
216415.105253333,565808.166746667,15,"Guyana"
216638.325946667,564519.726453333,16,"Guyana"
216861.54664,563231.28616,17,"Guyana"
217084.767333333,561942.845866667,18,"Guyana"
217307.988026667,560654.405573333,19,"Guyana"
217531.20872,559365.96528,20,"Guyana"
217423.374192667,557265.214007333,21,"Guyana"
217315.539665333,555164.462734667,22,"Guyana"
217207.705138,553063.711462,23,"Guyana"
217099.870610667,550962.960189333,24,"Guyana"
216992.036083333,548862.208916667,25,"Guyana"
216611.255312,546133.628288,26,"Guyana"
216230.474540667,543405.047659333,27,"Guyana"
215849.693769333,540676.467030667,28,"Guyana"
215468.912998,537947.886402,29,"Guyana"
215088.132226667,535219.305773333,30,"Guyana"
214538.703123333,532149.307076667,31,"Guyana"
213989.27402,529079.30838,32,"Guyana"
213439.844916667,526009.309683333,33,"Guyana"
212890.415813333,522939.310986667,34,"Guyana"
212340.98671,519869.31229,35,"Guyana"
4567483.2783608,3712943.2596392,0,"Honduras"
