transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier.unit,annual.change,arg1,arg2,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes,output_variable_OLD
TX:SCOE:DEC_DEMAND_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,5560000,$/PJ,1,,,cb:scoe:technical_cost:efficiency:building_shell,Cost of building shell efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",,scoe_technical_cost_building_shell
TX:ENTC:DEC_LOSSES,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_entc_reduce_losses,energy_consumption_inen_total,,,,,,cb:entc:technical_cost:loss_reduction:electricity,Cost of reducing electricity transmission losses,0,Varies by country,"The IDB (Brichettei et al., 2021) estimate the cost between 2020 and 2030 of upgrading each country’s grid to meet SDGs to 2030. We use a simple annual average as an approximation of the annual cost of upgrades in each country that would yield reductions in transmission losses.  ",,technical_cost_electricity_loss_reduction
TX:IPPU:DEC_CLINKER,1,,,,cb_ippu_clinker,prod_ippu_cement_tonne,-47,$/ton cement,1,,,cb:ippu:technical_savings:clinker:X,Savings from avoided clinker cost,0,$47/ton cement,"Leming et al. (2017) estimate that a ton of fly ash costs roughly 1/3 of a ton of cement, though more fly ash may be needed to replace an equivalent amount of clinker to achieve the same physical properties. We estimate therefore that each ton of substitution results in 50% savings in the cost of cement, which was approximately $94/ton in LAC in 2019 (Sindicato Nacional da Indústria do Cimento, 2022).",The difference variable in this row is a dummy variable,ippu_technical_savings_avoided_clinker
TX:IPPU:BUNDLE_DEC_FGAS,1,,,,cb_ippu_florinated_gases,emission_co2e_hfcs_ippu_production_electronics,63000000,$/million ton CO2e,1,,,cb:ippu:technical_cost:abating_N2O_and_F_Gases:X,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable,ippu_technical_cost_abating_florinated_gasses
TX:IPPU:DEC_N2O,1,,,,cb_fraction_change,emission_co2e_n2o_ippu*,13000000,$/million ton CO2e,1,ef_ippu_tonne_n2o_per_tonne_production_electronics,1,cb:ippu:technical_cost:abating_gases:n2o,Cost of abating N2O in chemical prouduction,1,$13/ton CO2e,"We use data in EPA (2019, Table 5-10) to estimate an undiscounted abatement cost of $38/ton of adipic acid and $3/ton of nitric acid",,ippu_technical_cost_abating_n2o_chemical_production
TX:IPPU:DEC_HFCS,1,,,,cb_fraction_change,emission_co2e_hfcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_sf6_per_tonne_production_electronics,1,cb:ippu:technical_cost:abating_gases:hfcs,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable,ippu_technical_cost_abating_HFCS
TX:IPPU:DEC_PFCS,1,,,,cb_fraction_change,emission_co2e_pfcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_c4f6_per_tonne_production_electronics,1,cb:ippu:technical_cost:abating_gases:pfcs,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable,ippu_technical_cost_abating_PFCS
TX:IPPU:DEC_OTHER_FCS,1,,,,cb_fraction_change,emission_co2e_other_fcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_sf6_per_tonne_production_electronics,1,cb:ippu:technical_cost:abating_gases:other_fgases,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable,ippu_technical_cost_abating_other_florinated_gases
TX:FGTV:INC_FLARE,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fgtv_abatement_costs,emission_co2e_subsector_total_fgtv,10000000,$/mtCO2e,1,,,cb:fgtv:technical_cost:flaring:X,Cost of abating fugitive emissions (flaring),0,$10/ton CO2e,"Studies suggest that fugitive emissions could be abated at a cost of less than $14/tCO2e in the United States’ oil and gas industry through a variety of technologies (ICF International, 2014, Figures A-4 and A-5). We use a conservative estimate by this measure given variations in discount rates, assumptions about the price of methane, etc. We also might suggest that flaring fugitive emissions has a fraction of the cost. We use an average of $10/tCO2e for both transformations.",,fgtv_technical_cost_flaring
TX:FGTV:DEC_LEAKS,1,,,,cb_fgtv_abatement_costs,emission_co2e_subsector_total_fgtv,10000000,$/mtCO2e,1,,,cb:fgtv:technical_cost:leaks:X,Cost of abating fugitive emissions (minimizing leaks),0,$10/ton CO2e,"Studies suggest that fugitive emissions could be abated at a cost of less than $14/tCO2e in the United States’ oil and gas industry through a variety of technologies (ICF International, 2014, Figures A-4 and A-5). We use a conservative estimate by this measure given variations in discount rates, assumptions about the price of methane, etc. We also might suggest that flaring fugitive emissions has a fraction of the cost. We use an average of $10/tCO2e for both transformations.",,fgtv_technical_cost_minimizing_leaks
TX:WASO:DEC_CONSUMER_FOOD_WASTE,1,,,,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,100,$/ton waste avoided,,,,cb:waso:technical_cost:consumer_food_waste:X,Cost of avoiding waste (food consumption),0,"Costs are based on the average per-ton costs of consumer-facing actions to reduce food waste in the United States found in the appendix of ReFED (2016), adjusted to LAC.",,,
TX:WASO:DEC_CONSUMER_FOOD_WASTE,1,,,,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,-700,$/ton waste avoided,,,,cb:waso:consumer_savings:consumer_food_waste:X,"Saving from avoided waste (agriculture, consumers)",0,$700/ton food waste avoided,,,waso_savings_value_avoiding_consumer_food_waste
TX:CCSQ:INCREASE_CAPTURE,1,,,,cb_difference_between_two_strategies,emission_co2e_subsector_total_ccsq,500,$/ton CO2e,0.96,,,cb:ccsq:technical_cost:direct_air_capture:X,Cost of direct air capture,0,$500/ton captured,"Costs of direct air capture can range from $250-600 and are expected to decline (Ozkan et al., 2022).",,technical_cost_direct_air_capture
TX:LVST:DEC_ENTERIC_FERMENTATION,1,,,,cb_lvst_enteric,pop_lvst_buffalo,-40,$/head,1,,,cb:lvst:technical_cost:ent_ferm_mgmt:X,Cost of enteric fermentation,0,$40/head,"The cost of reduced enteric fermentation is taken as the range of costs in Table 5-59 in EPA (2019) for fermentation inhibitors, and the nominal value is the average of that range. McKinsey (2020) reports breed change as a no-cost transformation. The costs of enteric fermentation inhibitors are converted from 2010 to 2019 dollars and adjusted to LAC.","An update on 10.14 fixes a bug in the application and calculation of livestock enteric fermentation costs. The bug was that the function cb_lvst_enteric getting called once for each livestock type, but it also itself calculated costs for all livestock types, meaning the costs were getting multiplied by the number of livestock. That is fixed by making the csv instructions search only one livestock type.",technical_cost_enteric_mgmt_
TX:AGRC:DEC_CH4_RICE,1,,,,cb_agrc_rice_mgmt,area_agrc_crops_rice,-31,$/acre,1,,,cb:agrc:technical_cost:rice_mgmt:X,Cost of better rice management,0,-$31/ha rice managed,"Chakraborty et al. (2017, Supplementary Table S8) describe the difference in costs for these practices globally, which we adapt here, adjusting from 2017 to 2019 dollars.",,technical_cost_rice_management
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,400,$/ton,1,,,cb:agrc:technical_cost:producer_food_waste:X,Cost of avoiding waste (food production),0,$680/ton,"These costs are based on the per-ton costs of reducing food waste in the United States found in the appendix of ReFED (2016). Here, the range represents the cost of the top three consumer-facing food waste prevention interventions adjusted to 2020 dollars (consumer education [$40/ton], standardized date labeling [$15/ton], and changing produce specifications [$455/ton]), adjusted to LAC 2019 dollars. In the absence of other data, we assume that reducing the presence of non-food waste in the waste stream could be up to ten times more expensive, given that it requires the use of different materials and technology at the producer level.",,agrc_technical_cost_avoiding_producer_food_waste
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,-500,$/ton,1,,,cb:agrc:technical_savings:producer_food_waste:X,"Saving from avoided waste (agriculture, producers)",0,$1700 saved/ton,"Food waste occurs across food types, and without specific information on the types of food that are wasted and have recovery potential in the supply chain, we use the average cost of food across all product types. We reduce this value given that the food that is recovered from waste may be of lower value than food that is not wasted.",,agrc_savings_value_avoiding_producer_food_waste
TX:AGRC:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1,$,1,,,cb:agrc:technical_cost:increase_productivity:X,Cost of increasing productivity (agriculture),0,Varies by country,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",,technical_cost_productivity_agrc
TX:LVST:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1,$,1,,,cb:lvst:technical_cost:increase_productivity:X,Cost of increasing productivity (livestock),0,Varies by country,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",,technical_cost_productivity_lvst
TX:GNRL:DEC_RED_MEAT_CONSUMPTION,1,,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,350,$/person with better diet,1,,,cb:pflo:human_health:better_diets:X,Savings from healthier diets (health),0,$3500/person,"The health benefits of a dietary change is calculated based on the aggregate annual health benefits defined in Springmann et al. (2016) for LAC in 2050. The costs are deeply uncertain: a dirct-costs approach estimates costs of $100B in LAC; a value-of-statistical-life approach estimates costs of approximately $2.5 trillion (see figures S.12 and S.13). divided by the population in LAC projected by the World Bank for 2050 (approximately 750M). We use an average, but explore over the full range, from $350/person to $3500/person.",,health_savings_better_diet
TX:GNRL:DEC_RED_MEAT_CONSUMPTION,1,,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,385,$/person with better diet,1,,,cb:pflo:consumer_savings:better_diets:X,Savings from healthier diets (groceries),0,$385/person,"The annual cost of food in the improved diet described by Springmann et al., (2016) costs less than the baseline diet, with food prices in LAC based on Springmann et al. (2017) and adjusted to 2020 dollars.",,grocery_savings_better_diet
TX:LNDU:INC_LAND_REHABILITIATION,0,,,,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45,$/ha,1,,,cb:lndu:technical_cost:rehabilitate_forests:X,Cost of rehabilitating degraded land,0,$650/hectare over 15 years,"Fargione et al. (2021), estimate a range of per-hectare costs of reforestation across the United States. We have selected a value near the high end of this range ($2000/ha) and adjusted to LAC in 2019.",,technical_cost_rehabilitate_forest
TX:LNDU:INC_SILVOPASTURE,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45,$/ha,1,,,cb:lndu:technical_cost:silvopasture:X,Cost of silvopasture,0,$650/hectare over 15 years,"We conservatively estimate the cost of silvopasture as the same as the cost of restoring degraded land, though this may be a higher cost than is seen in the literature.",,technical_cost_silvopasture
TX:LNDU:DEC_DEFORESTATION_AND_INC_SILVOPASTURE,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45,$/ha,1,,,cb:lndu:technical_cost:all_secondary_forests:X,Cost of silvopasture,0,$650/hectare over 15 years,"We conservatively estimate the cost of silvopasture as the same as the cost of restoring degraded land, though this may be a higher cost than is seen in the literature.",,
TX:PFLO:IND_INC_CCS,1,,,,cb_ippu_inen_ccs,prod_ippu_cement_tonne,0,$/tonne,0,,,cb:ippu:technical_cost:industrial_ccs:X,Cost of industrial ccs,0,Varies by industry,"The IEA (2020b) estimates that CCS globally adds $30-50/ton cement, $50/ton of steel, and $100/ton of chemicals, which we apply to plastics as well. ",,ippu_technical_cost_ccs
TX:AGRC:EXPAND_CONSERVATION_AGRICULTURE,1,,,,cb_difference_between_two_strategies,area_lndu_improved_croplands,350,$/ha,1,,,cb:agrc:consumer_savings:cons_ag_land_value:X,Increase in land value (conservation agriculture),0,$350/hectare,"Telles et al., (2018) estimate the difference in agricultural land values in Brazil in 2006 under different tillage practices, finding that on average, hectares of no-till are over $700 more valuable per acre than those under conventional tillage practices, which can serve as a proxy for the benefits of healthier soils from conservation tillage. Recognizing that agricultural land values vary greatly by country and that the causal direction of the relationship between value of land and tillage practice may be complex, we use a conservative estimate of the difference to value the benefits of this practice.",,benefit_cons_ag_land_value
TX:AGRC:EXPAND_CONSERVATION_AGRICULTURE,1,,,,cb_difference_between_two_strategies,area_lndu_improved_croplands,41,$/ha,1,,,cb:agrc:technical_savings:cons_ag:X,Savings in agriculture,0,$41/hectare,"Telles et al., (2018) estimate the difference in agricultural land values in Brazil in 2006 under different tillage practices, finding that on average, hectares of no-till are over $700 more valuable per acre than those under conventional tillage practices, which can serve as a proxy for the benefits of healthier soils from conservation tillage. Recognizing that agricultural land values vary greatly by country and that the causal direction of the relationship between value of land and tillage practice may be complex, we use a conservative estimate of the difference to value the benefits of this practice.",,agrc_technical_savings_cons_ag
TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,1,,,,cb_manure_management_cost,lvst_total_tlu,10,$/TLU,1,,,cb:lsmm:technical_cost:manure_management,Manure Management,0,$10/TLU,Frank et al. (2018) suggest global costs of digesters from $8-$38/TLU. We use an average for digesters and then adjust to account for the fact that much of the manure in this transformation is handled by lower cost methods such as spreading on fields.,none,